День публикации;Новость;Ссылка
04.02.2021;Структура государственного долга Кыргызской Республики на 31.12.2020 года;http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7056
12.01.2021;Структура государственного долга Кыргызской Республики на 30.11.2020 года;http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6998
03.08.2020;Структура государственного долга Кыргызской Республики на 30.06.2020 года;http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6798
06.07.2020;Структура государственного долга Кыргызской Республики на 31.05.2020 года;http://www.minfin.kg/ru/novosti/novosti/na-31-maya-tekuschego-goda-gosudarstvennyy-dolg-ky
15.06.2020;Структура государственного долга Кыргызской Республики на 30.04.2020 года;http://www.minfin.kg/ru/novosti/novosti/na-30-aprelya-tekuschego-goda-vneshniy-dolg-kyrgyz
15.05.2020;На конец марта 2020 года внешний долг страны составил около 4 млрд. долларов США;http://www.minfin.kg/ru/novosti/novosti/na-konets-marta-2020-goda-vneshniy-dolg-strany-sos
21.04.2020;На 29 февраля текущего года общая сумма госдолга Кыргызстана составила 321,7 млрд. сомов;http://www.minfin.kg/ru/novosti/novosti/fevral-ayynyn-sounda-kyrgyzstandyn-mamlekettik-kar
09.03.2020;На 31 января 2020 года госдолг Кыргызской Республики составил 4,6 млрд. долларов США;http://www.minfin.kg/ru/novosti/novosti/na-31-yanvarya-2020-goda-gosdolg-kyrgyzskoy-respub
12.02.2020;На конец 2019 года государственный долг Кыргызской Республики составил порядка 319,5 млрд. сомов;http://www.minfin.kg/ru/novosti/novosti/na-konets-2019-goda-gosdolg-kyrgyzskoy-respubliki-
10.01.2020;На 30 ноября 2019 года объем государственного долга нашей страны составил 314 567,85 млн. сомов;http://www.minfin.kg/ru/novosti/novosti/na-30-noyabrya-2019-goda-obschiy-obem-gosdolga-kyr
04.02.2021;Структура государственного долга Кыргызской Республики на 31.12.2020 года;http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7056
12.01.2021;Структура государственного долга Кыргызской Республики на 30.11.2020 года;http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6998
03.08.2020;Структура государственного долга Кыргызской Республики на 30.06.2020 года;http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6798
06.07.2020;Структура государственного долга Кыргызской Республики на 31.05.2020 года;http://www.minfin.kg/ru/novosti/novosti/na-31-maya-tekuschego-goda-gosudarstvennyy-dolg-ky
15.06.2020;Структура государственного долга Кыргызской Республики на 30.04.2020 года;http://www.minfin.kg/ru/novosti/novosti/na-30-aprelya-tekuschego-goda-vneshniy-dolg-kyrgyz
15.05.2020;На конец марта 2020 года внешний долг страны составил около 4 млрд. долларов США;http://www.minfin.kg/ru/novosti/novosti/na-konets-marta-2020-goda-vneshniy-dolg-strany-sos
21.04.2020;На 29 февраля текущего года общая сумма госдолга Кыргызстана составила 321,7 млрд. сомов;http://www.minfin.kg/ru/novosti/novosti/fevral-ayynyn-sounda-kyrgyzstandyn-mamlekettik-kar
09.03.2020;На 31 января 2020 года госдолг Кыргызской Республики составил 4,6 млрд. долларов США;http://www.minfin.kg/ru/novosti/novosti/na-31-yanvarya-2020-goda-gosdolg-kyrgyzskoy-respub
12.02.2020;На конец 2019 года государственный долг Кыргызской Республики составил порядка 319,5 млрд. сомов;http://www.minfin.kg/ru/novosti/novosti/na-konets-2019-goda-gosdolg-kyrgyzskoy-respubliki-
10.01.2020;На 30 ноября 2019 года объем государственного долга нашей страны составил 314 567,85 млн. сомов;http://www.minfin.kg/ru/novosti/novosti/na-30-noyabrya-2019-goda-obschiy-obem-gosdolga-kyr
04.02.2021;Структура государственного долга Кыргызской Республики на 31.12.2020 года;http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7056
12.01.2021;Структура государственного долга Кыргызской Республики на 30.11.2020 года;http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6998
03.08.2020;Структура государственного долга Кыргызской Республики на 30.06.2020 года;http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6798
06.07.2020;Структура государственного долга Кыргызской Республики на 31.05.2020 года;http://www.minfin.kg/ru/novosti/novosti/na-31-maya-tekuschego-goda-gosudarstvennyy-dolg-ky
15.06.2020;Структура государственного долга Кыргызской Республики на 30.04.2020 года;http://www.minfin.kg/ru/novosti/novosti/na-30-aprelya-tekuschego-goda-vneshniy-dolg-kyrgyz
15.05.2020;На конец марта 2020 года внешний долг страны составил около 4 млрд. долларов США;http://www.minfin.kg/ru/novosti/novosti/na-konets-marta-2020-goda-vneshniy-dolg-strany-sos
21.04.2020;На 29 февраля текущего года общая сумма госдолга Кыргызстана составила 321,7 млрд. сомов;http://www.minfin.kg/ru/novosti/novosti/fevral-ayynyn-sounda-kyrgyzstandyn-mamlekettik-kar
09.03.2020;На 31 января 2020 года госдолг Кыргызской Республики составил 4,6 млрд. долларов США;http://www.minfin.kg/ru/novosti/novosti/na-31-yanvarya-2020-goda-gosdolg-kyrgyzskoy-respub
12.02.2020;На конец 2019 года государственный долг Кыргызской Республики составил порядка 319,5 млрд. сомов;http://www.minfin.kg/ru/novosti/novosti/na-konets-2019-goda-gosdolg-kyrgyzskoy-respubliki-
10.01.2020;На 30 ноября 2019 года объем государственного долга нашей страны составил 314 567,85 млн. сомов;http://www.minfin.kg/ru/novosti/novosti/na-30-noyabrya-2019-goda-obschiy-obem-gosdolga-kyr
04.02.2021;Структура государственного долга Кыргызской Республики на 31.12.2020 года;http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7056
12.01.2021;Структура государственного долга Кыргызской Республики на 30.11.2020 года;http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6998
03.08.2020;Структура государственного долга Кыргызской Республики на 30.06.2020 года;http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6798
06.07.2020;Структура государственного долга Кыргызской Республики на 31.05.2020 года;http://www.minfin.kg/ru/novosti/novosti/na-31-maya-tekuschego-goda-gosudarstvennyy-dolg-ky
15.06.2020;Структура государственного долга Кыргызской Республики на 30.04.2020 года;http://www.minfin.kg/ru/novosti/novosti/na-30-aprelya-tekuschego-goda-vneshniy-dolg-kyrgyz
15.05.2020;На конец марта 2020 года внешний долг страны составил около 4 млрд. долларов США;http://www.minfin.kg/ru/novosti/novosti/na-konets-marta-2020-goda-vneshniy-dolg-strany-sos
21.04.2020;На 29 февраля текущего года общая сумма госдолга Кыргызстана составила 321,7 млрд. сомов;http://www.minfin.kg/ru/novosti/novosti/fevral-ayynyn-sounda-kyrgyzstandyn-mamlekettik-kar
09.03.2020;На 31 января 2020 года госдолг Кыргызской Республики составил 4,6 млрд. долларов США;http://www.minfin.kg/ru/novosti/novosti/na-31-yanvarya-2020-goda-gosdolg-kyrgyzskoy-respub
12.02.2020;На конец 2019 года государственный долг Кыргызской Республики составил порядка 319,5 млрд. сомов;http://www.minfin.kg/ru/novosti/novosti/na-konets-2019-goda-gosdolg-kyrgyzskoy-respubliki-
10.01.2020;На 30 ноября 2019 года объем государственного долга нашей страны составил 314 567,85 млн. сомов;http://www.minfin.kg/ru/novosti/novosti/na-30-noyabrya-2019-goda-obschiy-obem-gosdolga-kyr
04.02.2021;Структура государственного долга Кыргызской Республики на 31.12.2020 года;http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7056
12.01.2021;Структура государственного долга Кыргызской Республики на 30.11.2020 года;http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6998
03.08.2020;Структура государственного долга Кыргызской Республики на 30.06.2020 года;http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6798
06.07.2020;Структура государственного долга Кыргызской Республики на 31.05.2020 года;http://www.minfin.kg/ru/novosti/novosti/na-31-maya-tekuschego-goda-gosudarstvennyy-dolg-ky
15.06.2020;Структура государственного долга Кыргызской Республики на 30.04.2020 года;http://www.minfin.kg/ru/novosti/novosti/na-30-aprelya-tekuschego-goda-vneshniy-dolg-kyrgyz
15.05.2020;На конец марта 2020 года внешний долг страны составил около 4 млрд. долларов США;http://www.minfin.kg/ru/novosti/novosti/na-konets-marta-2020-goda-vneshniy-dolg-strany-sos
21.04.2020;На 29 февраля текущего года общая сумма госдолга Кыргызстана составила 321,7 млрд. сомов;http://www.minfin.kg/ru/novosti/novosti/fevral-ayynyn-sounda-kyrgyzstandyn-mamlekettik-kar
09.03.2020;На 31 января 2020 года госдолг Кыргызской Республики составил 4,6 млрд. долларов США;http://www.minfin.kg/ru/novosti/novosti/na-31-yanvarya-2020-goda-gosdolg-kyrgyzskoy-respub
12.02.2020;На конец 2019 года государственный долг Кыргызской Республики составил порядка 319,5 млрд. сомов;http://www.minfin.kg/ru/novosti/novosti/na-konets-2019-goda-gosdolg-kyrgyzskoy-respubliki-
